stock_code,trade_date,col_participant_id,col_participant_name,col_shareholding,col_shareholding_percent
603883.SH,20240626,,HONG KONG SECURITIES CLEARING CO. LTD.,24,0.0
603883.SH,20240626,B01110,J.P. MORGAN BROKING (HONG KONG) LTD,4371547,0.74
603883.SH,20240626,B01130,BOCI SECURITIES LTD,260,0.0
603883.SH,20240626,B01138,CLSA LTD,2210,0.0
603883.SH,20240626,B01161,UBS SECURITIES HONG KONG LTD,1199338,0.2
603883.SH,20240626,B01183,CHONG HING SECURITIES LTD,1014,0.0
603883.SH,20240626,B01224,MERRILL LYNCH FAR EAST LTD,2956757,0.5
603883.SH,20240626,B01274,MORGAN STANLEY HONG KONG SECURITIES LTD,3359216,0.57
603883.SH,20240626,B01345,PHILLIP SECURITIES (HONG KONG) LTD,169,0.0
603883.SH,20240626,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,281655,0.04
603883.SH,20240626,B01590,INTERACTIVE BROKERS HONG KONG LTD,2468,0.0
603883.SH,20240626,B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,110957,0.01
603883.SH,20240626,B01668,BRIGHT SMART SECURITIES INTERNATIONAL,1352,0.0
603883.SH,20240626,B01943,PO SANG SECURITIES LTD,7012,0.0
603883.SH,20240626,B01955,FUTU SECURITIES INTERNATIONAL,16575,0.0
603883.SH,20240626,B02091,STAR RIVER SECURITIES LTD,806,0.0
603883.SH,20240626,C00010,CITIBANK N.A.,8574757,1.47
603883.SH,20240626,C00019,THE HONGKONG AND SHANGHAI BANKING,12880345,2.2
603883.SH,20240626,C00033,BANK OF CHINA (HONG KONG) LTD,57733,0.0
603883.SH,20240626,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD,6377664,1.09
603883.SH,20240626,C00093,BNP PARIBAS,28150019,4.82
603883.SH,20240626,C00100,"JPMORGAN CHASE BANK, NATIONAL",10859336,1.86
603883.SH,20240626,C00111,SOCIETE GENERALE,126490,0.02
